,index2000,Player,Tm_2000,Pos,Age_2000,G_2000,GS_2000,Tgt_2000,Rec_2000,PassingYds_2000,PassingTD_2000,PassingAtt_2000,RushingYds_2000,RusingTD_2000,RushingAtt_2000,RecevingYds_2000,RecevingTD_2000,FantasyPoints_2000,Int_2000,Fumbeles_2000,FumblesLost_2000,Index_2001,Tm_2001,Age_2001,G_2001,GS_2001,Tgt_2001,Rec_2001,Passingyds_2001,PassingTD_2001,PassingAtt_2001,RushingYds_2001,RushingTD_2001,RushingAtt_2001,ReceivingYds_2001,ReceivingTD_2001,FantasyPoints_2001,Int_2001,Fumbles_2001,FumblesLost_2001,Index_2002,Tm_2002,Age_2002,G_2002,GS_2002,Tgt_2002,Rec_2002,PassingYds_2002,PassingTD_2002,PassingAtt_2002,Rushingyds_2002,RushingTD_2002,RushingAtt_2002,ReceivingYds_2002,ReceivingTD_2002,FantasyPoints_2002,Int_2002,Fumbles_2002,FumblesLost_2002,index2003,Tm_2003,Age_2003,G_2003,GS_2003,Tgt_2003,Rec_2003,PassingYds_2003,PassingTD_2003,PassingAtt_2003,RushingYds_2003,RusingTD_2003,RushingAtt_2003,RecevingYds_2003,RecevingTD_2003,FantasyPoints_2003,Int_2003,Fumbeles_2003,FumblesLost_2003,Index_2004,Tm_2004,Age_2004,G_2004,GS_2004,Tgt_2004,Rec_2004,Passingyds_2004,PassingTD_2004,PassingAtt_2004,RushingYds_2004,RushingTD_2004,RushingAtt_2004,ReceivingYds_2004,ReceivingTD_2004,FantasyPoints_2004,Int_2004,Fumbles_2004,FumblesLost_2004,Index_2005,Tm_2005,Age_2005,G_2005,GS_2005,Tgt_2005,Rec_2005,PassingYds_2005,PassingTD_2005,PassingAtt_2005,Rushingyds_2005,RushingTD_2005,RushingAtt_2005,ReceivingYds_2005,ReceivingTD_2005,FantasyPoints_2005,Int_2005,Fumbles_2005,FumblesLost_2005
960,,Eric Parker,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,SDG,24.0,8.0,4.0,31.0,18.0,0.0,0.0,0.0,21.0,0.0,3.0,244.0,3.0,62.5,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,,Charles Rogers,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,DET,22.0,5.0,5.0,52.0,22.0,0.0,0.0,0.0,17.0,0.0,2.0,243.0,3.0,66.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,281.0,DET,24.0,9.0,3.0,31.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,1.0,39.7,0.0,0.0,0.0
962,,Justin Griffith,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,ATL,23.0,16.0,11.0,34.0,21.0,0.0,0.0,0.0,168.0,0.0,38.0,122.0,2.0,62.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,,Quentin Griffin,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,DEN,22.0,10.0,1.0,11.0,8.0,0.0,0.0,0.0,345.0,0.0,94.0,61.0,0.0,46.6,0.0,3.0,1.0,181.0,DEN,23.0,6.0,4.0,14.0,10.0,0.0,0.0,0.0,311.0,2.0,85.0,68.0,1.0,59.90000000000001,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
964,,Lee Suggs,,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,CLE,23.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,289.0,2.0,56.0,0.0,0.0,40.9,0.0,2.0,1.0,108.0,CLE,24.0,10.0,3.0,36.0,20.0,0.0,0.0,0.0,744.0,2.0,199.0,178.0,1.0,124.2,0.0,6.0,3.0,440.0,CLE,25.0,8.0,0.0,8.0,6.0,0.0,0.0,0.0,15.0,0.0,8.0,26.0,0.0,10.1,0.0,0.0,0.0
965,,Jason Witten,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,DAL,21.0,15.0,7.0,54.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,1.0,75.7,0.0,0.0,0.0,20.0,DAL,22.0,16.0,15.0,122.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,980.0,6.0,219.0,0.0,2.0,1.0,30.0,DAL,23.0,16.0,16.0,89.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,6.0,177.7,0.0,0.0,0.0
966,,Dallas Clark,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,IND,24.0,10.0,10.0,42.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,1.0,69.0,0.0,0.0,0.0,70.0,IND,25.0,15.0,13.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,5.0,95.3,0.0,2.0,1.0,151.0,IND,26.0,15.0,14.0,52.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,4.0,109.8,0.0,0.0,0.0
967,,Kassim Osgood,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,SDG,23.0,16.0,2.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,2.0,52.8,0.0,0.0,0.0,225.0,SDG,24.0,16.0,7.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,2.0,57.8,0.0,0.0,0.0,449.0,SDG,25.0,12.0,3.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,21.0,0.0,4.5,0.0,0.0,0.0
968,,L.J. Smith,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,PHI,23.0,15.0,5.0,46.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,1.0,65.1,0.0,1.0,0.0,75.0,PHI,24.0,16.0,8.0,54.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,5.0,101.7,0.0,0.0,0.0,54.0,PHI,25.0,16.0,16.0,107.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,3.0,145.2,0.0,1.0,1.0
969,,Brandon Manumaleuna,,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,STL,23.0,16.0,15.0,45.0,29.0,0.0,0.0,0.0,15.0,0.0,4.0,238.0,2.0,66.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
